eccentricity,true_PdE,true_WdE,fit_decay_PdE,fit_prec_wdE,fit_dp_PdE,fit_dp_wdE,logZ_decay,logZ_prec,logZ_dp
1e-05,-1e-11,1.0000000000000002e-07,-1.718508461632876e-11,4.575943711662985e-08,-1.8065927679284806e-11,-2.9139675625371703e-07,-1142.0262264717758,-1166.274363629868,-1136.2093775825083
1e-05,-1e-11,1.0000000000000002e-06,-1.8068587970103994e-11,-7.255762593688522e-07,-1.7522687569418223e-11,1.7587777296306245e-06,-1163.1895205988835,-1186.3718261629288,-1158.8954192200833
1e-05,-1e-11,1e-05,-1.9449076163810536e-11,-5.270262529151925e-05,-2.076879496426645e-11,-1.6476446684881543e-05,-1227.6134406821243,-1257.7817103114878,-1222.6328775690256
1e-05,-1e-11,0.00010000000000000003,-2.194869044013998e-11,-3.867364458063477e-05,-2.2505378174331586e-11,6.980127334014824e-06,-1209.4121686224862,-1248.187891896337,-1206.2171400899847
1e-05,-1e-10,0.0,-2.0242296521717015e-10,-6.33901852404875e-09,-2.0209477183267988e-10,-3.2339516422412235e-08,-1175.5970525958203,-5452.989060708949,-1171.183091454353
1e-05,-1e-10,1.0000000000000002e-08,-1.969994574373768e-10,1.1847260085018792e-08,-1.9796823070456315e-10,6.78003417238836e-09,-1175.5970525958203,-5452.989060708949,-1171.183091454353
1e-05,-1e-10,1.0000000000000002e-07,-1.9777360286811822e-10,-2.713503930643862e-07,-1.9769516588934625e-10,2.567347532510487e-07,-1147.1656062969446,-4970.7481927615645,-1140.5426244656649
1e-05,-1e-10,1.0000000000000002e-06,-2.0330804352132374e-10,-2.9643759411443003e-06,-2.0292620470841945e-10,-1.920370150598935e-06,-1216.2746682815052,-5305.499664464124,-1209.8569775924846
1e-05,-1e-10,1e-05,-2.0183873988728338e-10,-8.453368836078099e-05,-2.0369368119450836e-10,-5.088626239305451e-05,-1192.783655931177,-5476.954304334963,-1187.2570123482408
1e-05,-1e-10,0.00010000000000000003,-2.0012611920546024e-10,-0.00016726656427618297,-2.0151504140410536e-10,-5.3250150101474564e-05,-1199.027928655239,-5167.138359776357,-1193.6916055843328
1e-05,-1e-09,0.0,-2.012591030117929e-09,nan,nan,nan,-1222.81375029216,nan,nan
1e-05,-1e-09,1.0000000000000002e-08,-2.0130155345570214e-09,nan,nan,nan,-1222.81375029216,nan,nan
1e-05,-1e-08,0.0,nan,nan,nan,nan,nan,nan,nan
1e-05,-1e-08,1.0000000000000002e-08,nan,nan,nan,nan,nan,nan,nan
0.0001,-0.0,0.0,-3.6028250608779484e-12,9.803574674036159e-09,-4.666475990624738e-12,-3.2350040349765614e-09,-1202.7096915419384,-1196.0060604414446,-1197.3658666317713
0.0001,-0.0,1.0000000000000002e-08,-4.588547259060355e-13,-2.7705217390902015e-08,2.756906422622714e-13,-4.695706334413104e-09,-1202.7096915419384,-1196.0060604414446,-1197.3658666317713
0.0001,-0.0,1.0000000000000002e-07,2.6458324494538686e-12,1.49719716992233e-09,2.525435033407781e-12,-1.522834474102226e-07,-1317.3192625316995,-1309.424591532635,-1315.0893976747043
0.0001,-0.0,9.999999999999997e-07,-9.639241737640017e-13,-9.631642723649936e-07,4.2368410499932535e-13,-1.273863620824935e-07,-1125.7306101920617,-1117.4536708628125,-1119.9420714521707
0.0001,-0.0,9.999999999999997e-06,3.987810289829682e-13,-7.530160225274067e-05,-1.7540086405003276e-12,-5.993379883305447e-05,-1185.5905668906564,-1176.1887813857488,-1178.0569868359673
0.0001,-0.0,9.999999999999999e-05,5.668609660796654e-12,-0.000231023018672365,-1.337002391699469e-12,-0.00016291181576543297,-1137.5213988133748,-1124.771623097662,-1128.0936926410702
0.0001,-1e-12,0.0,-6.572669597281755e-12,3.763911385959394e-08,-5.876876696357413e-12,1.0014279863036807e-08,-1179.6685684414156,-1176.0897244515197,-1174.3299683191678
0.0001,-1e-12,1.0000000000000002e-08,-5.629229400749618e-14,-3.63802078961027e-09,5.763767070109552e-14,-8.908621916956959e-09,-1179.6685684414156,-1176.0897244515197,-1174.3299683191678
0.0001,-1e-12,1.0000000000000002e-07,7.811655030918592e-13,1.1416951232314651e-08,-3.1046854665792937e-13,4.522180417884689e-08,-1137.173056187725,-1129.9542027278678,-1132.8772800293607
0.0001,-1e-12,9.999999999999997e-07,-1.5510595764707326e-12,2.0598393945509235e-06,-1.459551450455801e-12,1.995701753099846e-06,-1210.6009801874952,-1202.5679944814244,-1206.7938755211062
